Rank,Team,Team Clash,Route Quiz (/12),Photo Challenge : Characters (/24),Anagram Challenge (/8),Photo Challenge : Consoles (/6),Brain Training (/8),Missing Vowels (/8),Facebook Uploads (/25),Total,Clash: 2nd Best,Clash: 3rd Vents the Charm,Clash: 50 Shades of Spray,Clash: Accidental TV Damage,Clash: Atomic Securities,Clash: Bald and Beautiful,Clash: Billy's Mates,Clash: Cheeky Pluckers,Clash: Chilled Out Chickens,Clash: Chips and Salsa,Clash: Clash of Pints,Clash: Compass,Clash: Crop It Like It's Hot,Clash: Cyber-drunk,Clash: Cyber-Glitch-Hopper,Clash: Data Ventures,Clash: Early Careers FC,Clash: FC Wild Cards,Clash: Fruit Juice Ninjas,Clash: Full Kit Bankers,Clash: Game of Throws,Clash: Golden Pint Chasers,Clash: Grand Theft Ale,Clash: Green Machines,Clash: Hadouken on Tap,Clash: Here for Beer,Clash: Hook Funt,"Clash: I am rubber, you are glue",Clash: I like big putters and I cannot lie,"Clash: IAM a Plant, IAM a Zombie",Clash: Kev Cochrane's Worn-out Joystick,Clash: Kevin Costner Fan Club,Clash: Lost Toys,Clash: Mortalled,Clash: My name Chef,Clash: No Pain No Game,"Clash: No thoughts, only Potato",Clash: Oh No!,"Clash: Oh, Behave!",Clash: Only Gnomes,"Clash: Pay, no pay",Clash: Ping-Pong,Clash: Pubthumping,Clash: Purn's Puppets,Clash: Raiders of the lost packets,Clash: Random Encounter,Clash: Revenge of the Stakeholders,Clash: S.T.A.R.S.,Clash: Saddle Sore Squad,Clash: Sim & Tonic,Clash: Skyrimmers,Clash: Stirrups R Us,Clash: Team Chundrake (It's Chunning Home),Clash: Temu Hades,Clash: Tetris,Clash: The Booze Lightyears,Clash: The Clever Ones,Clash: The Hedgefund Managers,Clash: The Mild Hunt,Clash: The NPC's,Clash: The Sackstreet Boys,Clash: The Swarm,Clash: The Ultimate Warriors,Clash: Tony Hawk Pro Lenders,Clash: Village Idiots,"Clash: Waka Waka, Work Harder",Clash: We are supposed to be a Unit !,Clash: We're just here to expense it,Clash: Why has the rum gone?,Clash: Wild Goose Chase!,Clash: Woooo!!,Clash: Wormageddon,Clash: Wreck it & Rollback,Clash: Zero Pucks Given,Pub 1 Q1,Pub 1 Q2,Pub 1 Q3,Pub 2 Q1,Pub 2 Q2,Pub 2 Q3,Pub 3 Q1,Pub 3 Q2,Pub 3 Q3,Pub 4 Q1,Pub 4 Q2,Pub 4 Q3,Photo 1: Character,Photo 1: Game,Photo 2: Character,Photo 2: Game,Photo 3: Character,Photo 3: Game,Photo 4: Character,Photo 4: Game,Photo 5: Character,Photo 5: Game,Photo 6: Character,Photo 6: Game,Photo 7: Character,Photo 7: Game,Photo 8: Character,Photo 8: Game,Photo 9: Character,Photo 9: Game,Photo 10: Character,Photo 10: Game,Photo 11: Character,Photo 11: Game,Photo 12: Character,Photo 12: Game,Anagram 1,Anagram 2,Anagram 3,Anagram 4,Anagram 5,Anagram 6,Anagram 7,Anagram 8,Console 1,Console 2,Console 3,Console 4,Console 5,Console 6,Brain Q1,Brain Q2,Brain Q3,Brain Q4,Brain Q5,Brain Q6,Brain Q7,Brain Q8,Vowels 1,Vowels 2,Vowels 3,Vowels 4,Vowels 5,Vowels 6,Vowels 7,Vowels 8,Facebook: Team Photo (/5),Facebook: Selection Video (/10),Facebook: Scene Video (/10)
1,"IAM a Plant, IAM a Zombie",51,10,22,8,6,6,5,25,133,1,1,,,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,,,1,1,,1,1,,,1,,,,1,1,1,1,,1,1,1,,1,1,1,,1,1,1,,,1,1,1,1,1,,1,1,,,1,1,,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1,0,1,5,10,10
2,50 Shades of Spray,12,9,24,8,6,8,7,25,99,0,,,,,1,,0,1,,,1,,,,1,,,1,1,,,1,,,,,0,1,,,,,,,,1,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,5,10,10
3,The Clever Ones,33,11,15,3,4,5,0,25,96,,1,,1,1,1,,1,1,,1,,,,,1,1,,1,,,1,1,1,1,,,1,,1,,1,,,1,,,,1,,1,,,1,1,,,,1,,,1,,,,1,,,,,,1,,1,,,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,,,0,1,,,,,1,1,,1,,,0,1,,1,1,1,0,1,,1,1,1,0,1,,0,,,,,0,,5,10,10
4,FC Wild Cards,10,8,24,8,6,8,6,25,95,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,1,,,,,,,,,,,,,,,,1,1,,,,,,,,1,1,,1,,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,,1,5,10,10
4,"I am rubber, you are glue",11,10,21,8,6,6,8,25,95,,,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,,1,,1,,,,1,,,0,,,,,,,,,,,,,,,,,1,,1,,,1,,,1,,,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,5,10,10
6,2nd Best,3,9,24,8,6,7,4,25,86,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,5,10,10
6,"No thoughts, only Potato",14,5,24,8,6,2,2,25,86,,,1,,,,,,1,,,1,,1,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,1,,,1,,,,,,,,,1,1,1,,1,1,,1,,,1,1,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,1,1,,,0,0,,1,0,0,0,1,5,10,10
6,Zero Pucks Given,22,10,10,6,6,5,2,25,86,,1,,1,1,1,1,1,1,,1,1,1,,,1,,,,1,,,,1,,,,,1,1,1,,1,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,1,,,,,,,1,1,,,,,,0,1,1,1,1,1,1,1,1,0,1,1,,,1,1,,,,,1,1,1,1,,,1,1,,,1,1,,,,,,1,,1,1,1,1,1,1,1,1,1,1,1,,1,0,,1,1,1,1,,0,,,0,1,,1,5,10,10
9,Chilled Out Chickens,14,10,24,6,6,8,1,15,84,,,,,,,,,,,1,,,1,,1,,,,,,,1,1,,,1,1,,1,1,1,,,,,,,,,,,,,,,1,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,,,,1,0,,5,0,10
9,Raiders of the lost packets,25,10,24,8,5,5,7,0,84,,,1,,,,,,1,1,1,,,,1,1,,1,1,,,,,,,,,,,1,,,1,,,1,,,1,1,1,,,,,1,1,,1,1,1,,,,,,1,,1,,,1,1,,,,,,1,,,,1,,1,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0
